1->0["{'txnID': 1, 'idx': 0, 'idy': 0, 'coins': 0}"]
52->1["{'txnID': 52, 'idx': None, 'idy': 50, 'coins': 50}"]
53->1["{'txnID': 53, 'idx': None, 'idy': 51, 'coins': 50}"]
54->1["{'txnID': 54, 'idx': None, 'idy': 52, 'coins': 50}"]
55->1["{'txnID': 55, 'idx': None, 'idy': 53, 'coins': 50}"]
56->1["{'txnID': 56, 'idx': None, 'idy': 54, 'coins': 50}"]
57->1["{'txnID': 57, 'idx': None, 'idy': 55, 'coins': 50}"]
58->1["{'txnID': 58, 'idx': None, 'idy': 56, 'coins': 50}"]
59->1["{'txnID': 59, 'idx': None, 'idy': 57, 'coins': 50}"]
60->1["{'txnID': 60, 'idx': None, 'idy': 58, 'coins': 50}"]
61->1["{'txnID': 61, 'idx': None, 'idy': 59, 'coins': 50}"]
62->1["{'txnID': 62, 'idx': None, 'idy': 60, 'coins': 50}"]
63->1["{'txnID': 63, 'idx': None, 'idy': 61, 'coins': 50}"]
64->1["{'txnID': 64, 'idx': None, 'idy': 62, 'coins': 50}"]
65->1["{'txnID': 65, 'idx': None, 'idy': 63, 'coins': 50}"]
66->1["{'txnID': 66, 'idx': None, 'idy': 64, 'coins': 50}"]
67->1["{'txnID': 67, 'idx': None, 'idy': 65, 'coins': 50}"]
68->1["{'txnID': 68, 'idx': None, 'idy': 66, 'coins': 50}"]
69->1["{'txnID': 69, 'idx': None, 'idy': 67, 'coins': 50}"]
70->1["{'txnID': 70, 'idx': None, 'idy': 68, 'coins': 50}"]
71->1["{'txnID': 71, 'idx': None, 'idy': 69, 'coins': 50}"]
72->1["{'txnID': 72, 'idx': None, 'idy': 70, 'coins': 50}"]
73->1["{'txnID': 73, 'idx': None, 'idy': 71, 'coins': 50}"]
74->1["{'txnID': 74, 'idx': None, 'idy': 72, 'coins': 50}"]
75->1["{'txnID': 75, 'idx': None, 'idy': 73, 'coins': 50}"]
76->1["{'txnID': 76, 'idx': None, 'idy': 74, 'coins': 50}"]
77->1["{'txnID': 77, 'idx': None, 'idy': 75, 'coins': 50}"]
78->1["{'txnID': 78, 'idx': None, 'idy': 76, 'coins': 50}"]
79->1["{'txnID': 79, 'idx': None, 'idy': 77, 'coins': 50}"]
80->1["{'txnID': 80, 'idx': None, 'idy': 78, 'coins': 50}"]
81->1["{'txnID': 81, 'idx': None, 'idy': 79, 'coins': 50}"]
82->1["{'txnID': 82, 'idx': None, 'idy': 80, 'coins': 50}"]
83->1["{'txnID': 83, 'idx': None, 'idy': 81, 'coins': 50}"]
84->1["{'txnID': 84, 'idx': None, 'idy': 82, 'coins': 50}"]
85->1["{'txnID': 85, 'idx': None, 'idy': 83, 'coins': 50}"]
86->1["{'txnID': 86, 'idx': None, 'idy': 84, 'coins': 50}"]
87->1["{'txnID': 87, 'idx': None, 'idy': 85, 'coins': 50}"]
88->1["{'txnID': 88, 'idx': None, 'idy': 86, 'coins': 50}"]
89->1["{'txnID': 89, 'idx': None, 'idy': 87, 'coins': 50}"]
90->1["{'txnID': 90, 'idx': None, 'idy': 88, 'coins': 50}"]
91->1["{'txnID': 91, 'idx': None, 'idy': 89, 'coins': 50}"]
92->1["{'txnID': 92, 'idx': None, 'idy': 90, 'coins': 50}"]
93->1["{'txnID': 93, 'idx': None, 'idy': 91, 'coins': 50}"]
94->1["{'txnID': 94, 'idx': None, 'idy': 92, 'coins': 50}"]
95->1["{'txnID': 95, 'idx': None, 'idy': 93, 'coins': 50}"]
96->1["{'txnID': 96, 'idx': None, 'idy': 94, 'coins': 50}"]
97->1["{'txnID': 97, 'idx': None, 'idy': 95, 'coins': 50}"]
98->1["{'txnID': 98, 'idx': None, 'idy': 96, 'coins': 50}"]
99->1["{'txnID': 99, 'idx': None, 'idy': 97, 'coins': 50}"]
100->1["{'txnID': 100, 'idx': None, 'idy': 98, 'coins': 50}"]
101->1["{'txnID': 101, 'idx': None, 'idy': 99, 'coins': 50}"]
